file,role,source_item,source_file,licence,source_url
wav/perc__real__0003.wav,perc,HeatDish,HiTom-52.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0004.wav,perc,HeatDish,Low Tom.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0005.wav,perc,HeatDish,Low-Tom 4_11_2015.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0006.wav,perc,HeatDish,Rim-4_12_2015.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0007.wav,perc,HeatDish,Snare-52.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0008.wav,perc,HeatDish,_snare.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0009.wav,perc,HeatDish,beat box-snare2.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0010.wav,perc,HeatDish,beat box-snare3.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0011.wav,perc,HeatDish,beatbox-snare1.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0012.wav,perc,HeatDish,hi tom.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0013.wav,perc,HeatDish,portasound-snare.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0014.wav,perc,HeatDish,portasound-tom.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0015.wav,perc,HeatDish,shaker.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0016.wav,perc,HeatDish,sinenoisesnare-4_11_2015.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0017.wav,perc,HeatDish,snare 1.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0018.wav,perc,HeatDish,snare 2 1.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/perc__real__0019.wav,perc,HeatDish,snare 2.wav,CC Public Domain Mark 1.0,https://archive.org/details/HeatDish
wav/hat_open__real__0001.wav,hat_open,mailboxbadgerdrumsamplesvolume2,General Open Hihat.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_open__real__0002.wav,hat_open,mailboxbadgerdrumsamplesvolume2,General Room Open Hihat.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0004.wav,impact,mailboxbadgerdrumsamplesvolume2,Analog Cymbal 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0005.wav,impact,mailboxbadgerdrumsamplesvolume2,Analog Cymbal 2.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0006.wav,impact,mailboxbadgerdrumsamplesvolume2,Analog Cymbal 3.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0007.wav,impact,mailboxbadgerdrumsamplesvolume2,Analog Cymbal 4.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0008.wav,impact,mailboxbadgerdrumsamplesvolume2,Analog Cymbal 5.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0009.wav,impact,mailboxbadgerdrumsamplesvolume2,Analog Cymbal 6.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0010.wav,impact,mailboxbadgerdrumsamplesvolume2,Cymbal - 5:2.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0011.wav,impact,mailboxbadgerdrumsamplesvolume2,General Crash.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0012.wav,impact,mailboxbadgerdrumsamplesvolume2,General Room Crash 2.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0013.wav,impact,mailboxbadgerdrumsamplesvolume2,General Room Crash-57slower.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0014.wav,impact,mailboxbadgerdrumsamplesvolume2,General Room Crash.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0015.wav,impact,mailboxbadgerdrumsamplesvolume2,Techno Crash 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/clap__real__0001.wav,clap,mailboxbadgerdrumsamplesvolume2,Analog Clap 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/clap__real__0002.wav,clap,mailboxbadgerdrumsamplesvolume2,General Room Clap 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/clap__real__0003.wav,clap,mailboxbadgerdrumsamplesvolume2,Techno Clap 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0006.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,440hat10:30:2015.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0007.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,Analog Hihat 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0008.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,Analog Hihat 2.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0009.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,General Closed Hihat.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0010.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,General Room Cl Hihat.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0011.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,HiHat- 5:2.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0012.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,Techno Hihat 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0013.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,Techno Hihat 2.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0014.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,noizehat1-10:30:2015.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0015.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,porta-hatopen-57slower.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/hat_closed__real__0016.wav,hat_closed,mailboxbadgerdrumsamplesvolume2,portas-cl-hihat-57slower.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0012.wav,kick,mailboxbadgerdrumsamplesvolume2,Analog Kick 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0013.wav,kick,mailboxbadgerdrumsamplesvolume2,Analog Kick 2.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0014.wav,kick,mailboxbadgerdrumsamplesvolume2,Analog Kick 3.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0015.wav,kick,mailboxbadgerdrumsamplesvolume2,Analog Kick 4.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0016.wav,kick,mailboxbadgerdrumsamplesvolume2,Electronic Kick 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0017.wav,kick,mailboxbadgerdrumsamplesvolume2,Electronic Kick 2.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0018.wav,kick,mailboxbadgerdrumsamplesvolume2,General Kick 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0019.wav,kick,mailboxbadgerdrumsamplesvolume2,General Kick 2.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0020.wav,kick,mailboxbadgerdrumsamplesvolume2,General Kick 57slower.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0021.wav,kick,mailboxbadgerdrumsamplesvolume2,General Room Kick 1.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0022.wav,kick,mailboxbadgerdrumsamplesvolume2,General Room Kick 2.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/kick__real__0023.wav,kick,mailboxbadgerdrumsamplesvolume2,Kick- 10:30:2015.wav,CC BY 3.0,https://archive.org/details/mailboxbadgerdrumsamplesvolume2
wav/impact__real__0016.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.10.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0017.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.11.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0018.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.13.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0019.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.16.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0020.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.18.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0021.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.19.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0022.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.2.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0023.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.20.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0024.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.21.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0025.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.23.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0026.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.25.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0027.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.26.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0028.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.27.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0029.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.4.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0030.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.6.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0031.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.7.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/impact__real__0032.wav,impact,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-CymbalHH1.8.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0004.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.1.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0005.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.10.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0006.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.11.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0007.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.12.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0008.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.13.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0009.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.14.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0010.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.15.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0011.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.17.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0012.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.18.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0013.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.19.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0014.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.2.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0015.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.20.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0016.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.21.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0017.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.3.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0018.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.4.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0019.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.5.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0020.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.6.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0021.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.7.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0022.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.8.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/clap__real__0023.wav,clap,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clap.9.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/perc__real__0020.wav,perc,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clave.1.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/perc__real__0021.wav,perc,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clave.10.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/perc__real__0022.wav,perc,beckstrom-volca-modular-drum-samples-1,Beckstrom_volca-modular-Clave.11.wav,CC BY 4.0,https://archive.org/details/beckstrom-volca-modular-drum-samples-1
wav/kick__real__0024.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/!.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0025.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/!ding.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0026.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/!duing.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0027.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/67.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0028.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/69.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0029.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/809.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0030.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/A.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0031.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/AAAAAAAAAA.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0032.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/JBLMDB_1.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0033.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/JBLMDB_2.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0034.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/JBLMDB_3.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0035.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/JBLMDB_4.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0036.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/OKick.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0037.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/Owa.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0038.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/bob.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0039.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/bonk_1.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0040.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/bonk_2.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0041.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/bonk_3.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0042.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/bonk_4.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0043.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/bonk_6lol.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0044.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/cav.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0045.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/caveu.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0046.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/chibrator_2000.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0047.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/cr4pul.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0048.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/eep.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0049.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/keb4b (2 viandes).wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0050.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/keb4b (sauce algÇrienne).wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0051.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/keb4b (sauce biggy).wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0052.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/kras_1.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0053.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/kras_2.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0054.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/lazr.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0055.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/low_taper_face_ahh_kick.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0056.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/ment_1.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0057.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/ment_2.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0058.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/ment_3.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0059.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/ment_4.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0060.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/mims.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0061.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/quand_tu_fais_tomber_une_bille_de_verre_super_proche_du_sol.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0062.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/quique.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/kick__real__0063.wav,kick,55kicks,55+kicks [royalty free sample pack] @IR @voldanno/rmbl.wav,CC Public Domain Mark 1.0,https://archive.org/details/55kicks
wav/impact__real__0033.wav,impact,SC8850DrumSamples,SC 8850 Drum Samples/Crash 03 SC8850-O2.wav,CC Public Domain Mark 1.0,https://archive.org/details/SC8850DrumSamples
wav/impact__real__0034.wav,impact,SC8850DrumSamples,SC 8850 Drum Samples/Crash SC8850-O2.wav,CC Public Domain Mark 1.0,https://archive.org/details/SC8850DrumSamples
wav/clap__real__0024.wav,clap,SC8850DrumSamples,SC 8850 Drum Samples/Clap SC8850-O1.wav,CC Public Domain Mark 1.0,https://archive.org/details/SC8850DrumSamples
wav/clap__real__0025.wav,clap,SC8850DrumSamples,SC 8850 Drum Samples/Clap SC8850-O2.wav,CC Public Domain Mark 1.0,https://archive.org/details/SC8850DrumSamples
wav/hat_closed__real__0017.wav,hat_closed,SC8850DrumSamples,SC 8850 Drum Samples/High Hat 01 SC8850-O2.wav,CC Public Domain Mark 1.0,https://archive.org/details/SC8850DrumSamples
