file,role,settings
wav/kick__lib__0025.wav,kick,pitch_start_hz=216.5;pitch_end_hz=58.51;pitch_decay_ms=46.24;amp_decay_ms=166.7;click_ms=1.976;click_level=0.3165;drive=0.8231;length_ms=500;seed=25
wav/kick__lib__0026.wav,kick,pitch_start_hz=181.8;pitch_end_hz=54.11;pitch_decay_ms=21.51;amp_decay_ms=144.6;click_ms=2.094;click_level=0.1714;drive=0.8598;length_ms=500;seed=26
wav/kick__lib__0027.wav,kick,pitch_start_hz=193.6;pitch_end_hz=51.52;pitch_decay_ms=33.69;amp_decay_ms=219.6;click_ms=5.564;click_level=0.3696;drive=0.698;length_ms=500;seed=27
wav/kick__lib__0028.wav,kick,pitch_start_hz=216.3;pitch_end_hz=37.67;pitch_decay_ms=18;amp_decay_ms=390.8;click_ms=3.018;click_level=0.1634;drive=0.8698;length_ms=500;seed=28
wav/kick__lib__0029.wav,kick,pitch_start_hz=128.2;pitch_end_hz=40.7;pitch_decay_ms=29.15;amp_decay_ms=449.3;click_ms=0.5562;click_level=0.2013;drive=0.2618;length_ms=500;seed=29
wav/kick__lib__0030.wav,kick,pitch_start_hz=241;pitch_end_hz=60.45;pitch_decay_ms=57.22;amp_decay_ms=269.9;click_ms=2.016;click_level=0.2923;drive=0.59;length_ms=500;seed=30
wav/kick__lib__0031.wav,kick,pitch_start_hz=183.5;pitch_end_hz=55.05;pitch_decay_ms=25.9;amp_decay_ms=140.6;click_ms=5.895;click_level=0.7095;drive=0.5865;length_ms=500;seed=31
wav/kick__lib__0032.wav,kick,pitch_start_hz=217.1;pitch_end_hz=59.72;pitch_decay_ms=14.64;amp_decay_ms=119.5;click_ms=3.708;click_level=0.7141;drive=0.1488;length_ms=500;seed=32
wav/kick__lib__0033.wav,kick,pitch_start_hz=233.9;pitch_end_hz=35.33;pitch_decay_ms=23.51;amp_decay_ms=160.9;click_ms=5.331;click_level=0.5985;drive=0.7518;length_ms=500;seed=33
wav/kick__lib__0034.wav,kick,pitch_start_hz=219.7;pitch_end_hz=50.79;pitch_decay_ms=34.98;amp_decay_ms=297.4;click_ms=4.291;click_level=0.8679;drive=0.5235;length_ms=500;seed=34
wav/kick__lib__0035.wav,kick,pitch_start_hz=196.8;pitch_end_hz=36.08;pitch_decay_ms=29.01;amp_decay_ms=739.4;click_ms=1.839;click_level=0.3822;drive=0.7556;length_ms=500;seed=35
wav/kick__lib__0036.wav,kick,pitch_start_hz=115.2;pitch_end_hz=38.91;pitch_decay_ms=28.93;amp_decay_ms=118.3;click_ms=4.255;click_level=0.7805;drive=0.9347;length_ms=500;seed=36
wav/kick__lib__0037.wav,kick,pitch_start_hz=203.9;pitch_end_hz=41.68;pitch_decay_ms=32.96;amp_decay_ms=141.4;click_ms=4.773;click_level=0.5563;drive=0.436;length_ms=500;seed=37
wav/kick__lib__0038.wav,kick,pitch_start_hz=294.3;pitch_end_hz=39.42;pitch_decay_ms=19.44;amp_decay_ms=138.2;click_ms=4.054;click_level=0.1777;drive=0.1208;length_ms=500;seed=38
wav/kick__lib__0039.wav,kick,pitch_start_hz=254;pitch_end_hz=35.89;pitch_decay_ms=32.8;amp_decay_ms=474.6;click_ms=4.03;click_level=0.6705;drive=0.0576;length_ms=500;seed=39
wav/kick__lib__0040.wav,kick,pitch_start_hz=207.7;pitch_end_hz=45.05;pitch_decay_ms=14.25;amp_decay_ms=151.1;click_ms=1.988;click_level=0.3582;drive=0.1903;length_ms=500;seed=40
wav/rumble__lib__0001.wav,rumble,decay_ms=1314;lowpass_hz=97.58;drive=0.2508;sidechain_ms=148.2
wav/rumble__lib__0002.wav,rumble,decay_ms=480.3;lowpass_hz=255.7;drive=0.6739;sidechain_ms=95.49
wav/rumble__lib__0003.wav,rumble,decay_ms=1418;lowpass_hz=96.2;drive=0.2509;sidechain_ms=97.25
wav/rumble__lib__0004.wav,rumble,decay_ms=1372;lowpass_hz=134.7;drive=0.3468;sidechain_ms=69.93
wav/rumble__lib__0005.wav,rumble,decay_ms=675.2;lowpass_hz=136;drive=0.134;sidechain_ms=110.1
wav/rumble__lib__0006.wav,rumble,decay_ms=696.5;lowpass_hz=192.8;drive=0.2533;sidechain_ms=175.8
wav/rumble__lib__0007.wav,rumble,decay_ms=1218;lowpass_hz=136.6;drive=0.6893;sidechain_ms=156.8
wav/rumble__lib__0008.wav,rumble,decay_ms=730.5;lowpass_hz=100.5;drive=0.218;sidechain_ms=151.1
wav/rumble__lib__0009.wav,rumble,decay_ms=1123;lowpass_hz=92.36;drive=0.1843;sidechain_ms=96
wav/rumble__lib__0010.wav,rumble,decay_ms=829.5;lowpass_hz=240.2;drive=0.5943;sidechain_ms=174.7
wav/rumble__lib__0011.wav,rumble,decay_ms=1092;lowpass_hz=110.1;drive=0.483;sidechain_ms=77.77
wav/rumble__lib__0012.wav,rumble,decay_ms=1007;lowpass_hz=127.5;drive=0.585;sidechain_ms=126.4
wav/rumble__lib__0013.wav,rumble,decay_ms=800.6;lowpass_hz=140.9;drive=0.7181;sidechain_ms=74.12
wav/rumble__lib__0014.wav,rumble,decay_ms=415;lowpass_hz=119.3;drive=0.699;sidechain_ms=62.02
wav/rumble__lib__0015.wav,rumble,decay_ms=436.5;lowpass_hz=115.5;drive=0.4192;sidechain_ms=103.4
wav/rumble__lib__0016.wav,rumble,decay_ms=415.5;lowpass_hz=190.1;drive=0.3187;sidechain_ms=107.9
wav/rumble__lib__0017.wav,rumble,decay_ms=680.5;lowpass_hz=148.8;drive=0.3683;sidechain_ms=75.65
wav/rumble__lib__0018.wav,rumble,decay_ms=1098;lowpass_hz=109.4;drive=0.2795;sidechain_ms=122.7
wav/rumble__lib__0019.wav,rumble,decay_ms=511.9;lowpass_hz=142.4;drive=0.6535;sidechain_ms=146.6
wav/rumble__lib__0020.wav,rumble,decay_ms=684.3;lowpass_hz=254;drive=0.5929;sidechain_ms=165.5
wav/rumble__lib__0021.wav,rumble,decay_ms=1097;lowpass_hz=146;drive=0.7336;sidechain_ms=153.3
wav/rumble__lib__0022.wav,rumble,decay_ms=437.5;lowpass_hz=95.68;drive=0.2282;sidechain_ms=179.9
wav/rumble__lib__0023.wav,rumble,decay_ms=1006;lowpass_hz=197.8;drive=0.7848;sidechain_ms=129.4
wav/rumble__lib__0024.wav,rumble,decay_ms=411.9;lowpass_hz=207.3;drive=0.338;sidechain_ms=180.2
wav/rumble__lib__0025.wav,rumble,decay_ms=1497;lowpass_hz=183.2;drive=0.1805;sidechain_ms=139.2
wav/rumble__lib__0026.wav,rumble,decay_ms=1108;lowpass_hz=103.3;drive=0.4148;sidechain_ms=144.9
wav/rumble__lib__0027.wav,rumble,decay_ms=507;lowpass_hz=131.7;drive=0.3571;sidechain_ms=153.4
wav/rumble__lib__0028.wav,rumble,decay_ms=839.6;lowpass_hz=90.3;drive=0.3355;sidechain_ms=104.4
wav/rumble__lib__0029.wav,rumble,decay_ms=965;lowpass_hz=227.1;drive=0.1002;sidechain_ms=178.6
wav/rumble__lib__0030.wav,rumble,decay_ms=523.4;lowpass_hz=106.1;drive=0.19;sidechain_ms=105.9
wav/rumble__lib__0031.wav,rumble,decay_ms=428.8;lowpass_hz=138.2;drive=0.5914;sidechain_ms=161.2
wav/rumble__lib__0032.wav,rumble,decay_ms=863.8;lowpass_hz=173;drive=0.3556;sidechain_ms=125.1
wav/rumble__lib__0033.wav,rumble,decay_ms=653.8;lowpass_hz=171.4;drive=0.7524;sidechain_ms=189.6
wav/rumble__lib__0034.wav,rumble,decay_ms=670.5;lowpass_hz=154.5;drive=0.2585;sidechain_ms=124
wav/rumble__lib__0035.wav,rumble,decay_ms=743.3;lowpass_hz=118;drive=0.1244;sidechain_ms=178.9
wav/rumble__lib__0036.wav,rumble,decay_ms=858.8;lowpass_hz=243.5;drive=0.7255;sidechain_ms=194.6
wav/rumble__lib__0037.wav,rumble,decay_ms=559.8;lowpass_hz=92.52;drive=0.2128;sidechain_ms=94.52
wav/rumble__lib__0038.wav,rumble,decay_ms=1419;lowpass_hz=193;drive=0.4159;sidechain_ms=85.9
wav/rumble__lib__0039.wav,rumble,decay_ms=778.5;lowpass_hz=245.4;drive=0.4062;sidechain_ms=153.3
wav/rumble__lib__0040.wav,rumble,decay_ms=1327;lowpass_hz=165.3;drive=0.5264;sidechain_ms=163.6
wav/hat_closed__lib__0001.wav,hat_closed,closed=True;decay_ms=18.27;highpass_hz=5000;tone=0.5607;level=0.5;seed=1
wav/hat_closed__lib__0002.wav,hat_closed,closed=True;decay_ms=18.62;highpass_hz=4901;tone=0.4162;level=0.5;seed=2
wav/hat_closed__lib__0003.wav,hat_closed,closed=True;decay_ms=12.01;highpass_hz=3944;tone=0.6303;level=0.5;seed=3
wav/hat_closed__lib__0004.wav,hat_closed,closed=True;decay_ms=19.16;highpass_hz=8848;tone=0.2609;level=0.5;seed=4
wav/hat_closed__lib__0005.wav,hat_closed,closed=True;decay_ms=17.69;highpass_hz=9403;tone=0.2123;level=0.5;seed=5
wav/hat_closed__lib__0006.wav,hat_closed,closed=True;decay_ms=8.576;highpass_hz=3510;tone=0.6128;level=0.5;seed=6
wav/hat_closed__lib__0007.wav,hat_closed,closed=True;decay_ms=10.94;highpass_hz=4083;tone=0.1892;level=0.5;seed=7
wav/hat_closed__lib__0008.wav,hat_closed,closed=True;decay_ms=41.36;highpass_hz=4879;tone=0.01638;level=0.5;seed=8
wav/hat_closed__lib__0009.wav,hat_closed,closed=True;decay_ms=9.412;highpass_hz=6337;tone=0.01782;level=0.5;seed=9
wav/hat_closed__lib__0010.wav,hat_closed,closed=True;decay_ms=13.35;highpass_hz=4000;tone=0.1586;level=0.5;seed=10
wav/hat_closed__lib__0011.wav,hat_closed,closed=True;decay_ms=37.78;highpass_hz=8831;tone=0.185;level=0.5;seed=11
wav/hat_closed__lib__0012.wav,hat_closed,closed=True;decay_ms=19.25;highpass_hz=6401;tone=0.1008;level=0.5;seed=12
wav/hat_closed__lib__0013.wav,hat_closed,closed=True;decay_ms=15.39;highpass_hz=7383;tone=0.3095;level=0.5;seed=13
wav/hat_closed__lib__0014.wav,hat_closed,closed=True;decay_ms=16.99;highpass_hz=6144;tone=0.3505;level=0.5;seed=14
wav/hat_closed__lib__0015.wav,hat_closed,closed=True;decay_ms=52.55;highpass_hz=6877;tone=0.3469;level=0.5;seed=15
wav/hat_closed__lib__0016.wav,hat_closed,closed=True;decay_ms=19.52;highpass_hz=4049;tone=0.5319;level=0.5;seed=16
wav/hat_closed__lib__0017.wav,hat_closed,closed=True;decay_ms=14.07;highpass_hz=3563;tone=0.1071;level=0.5;seed=17
wav/hat_closed__lib__0018.wav,hat_closed,closed=True;decay_ms=31.82;highpass_hz=5372;tone=0.2633;level=0.5;seed=18
wav/hat_closed__lib__0019.wav,hat_closed,closed=True;decay_ms=30.92;highpass_hz=3709;tone=0.1537;level=0.5;seed=19
wav/hat_closed__lib__0020.wav,hat_closed,closed=True;decay_ms=10.76;highpass_hz=3668;tone=0.2426;level=0.5;seed=20
wav/hat_closed__lib__0021.wav,hat_closed,closed=True;decay_ms=32.85;highpass_hz=9149;tone=0.7362;level=0.5;seed=21
wav/hat_closed__lib__0022.wav,hat_closed,closed=True;decay_ms=8.038;highpass_hz=8088;tone=0.7162;level=0.5;seed=22
wav/hat_closed__lib__0023.wav,hat_closed,closed=True;decay_ms=16.11;highpass_hz=7632;tone=0.3924;level=0.5;seed=23
wav/hat_closed__lib__0024.wav,hat_closed,closed=True;decay_ms=13.96;highpass_hz=7105;tone=0.5934;level=0.5;seed=24
wav/hat_closed__lib__0025.wav,hat_closed,closed=True;decay_ms=21.61;highpass_hz=4784;tone=0.3038;level=0.5;seed=25
wav/hat_closed__lib__0026.wav,hat_closed,closed=True;decay_ms=49.16;highpass_hz=5651;tone=0.3339;level=0.5;seed=26
wav/hat_closed__lib__0027.wav,hat_closed,closed=True;decay_ms=38.91;highpass_hz=6969;tone=0.7303;level=0.5;seed=27
wav/hat_closed__lib__0028.wav,hat_closed,closed=True;decay_ms=34.05;highpass_hz=7828;tone=0.6302;level=0.5;seed=28
wav/hat_closed__lib__0029.wav,hat_closed,closed=True;decay_ms=35.33;highpass_hz=6627;tone=0.02907;level=0.5;seed=29
wav/hat_closed__lib__0030.wav,hat_closed,closed=True;decay_ms=16.31;highpass_hz=3666;tone=0.3197;level=0.5;seed=30
wav/hat_closed__lib__0031.wav,hat_closed,closed=True;decay_ms=41.86;highpass_hz=5952;tone=0.4899;level=0.5;seed=31
wav/hat_closed__lib__0032.wav,hat_closed,closed=True;decay_ms=30.78;highpass_hz=4172;tone=0.7206;level=0.5;seed=32
wav/hat_closed__lib__0033.wav,hat_closed,closed=True;decay_ms=17.94;highpass_hz=5134;tone=0.1585;level=0.5;seed=33
wav/hat_closed__lib__0034.wav,hat_closed,closed=True;decay_ms=9.193;highpass_hz=6020;tone=0.6397;level=0.5;seed=34
wav/hat_closed__lib__0035.wav,hat_closed,closed=True;decay_ms=21.88;highpass_hz=3934;tone=0.6691;level=0.5;seed=35
wav/hat_closed__lib__0036.wav,hat_closed,closed=True;decay_ms=13.46;highpass_hz=6285;tone=0.09285;level=0.5;seed=36
wav/hat_closed__lib__0037.wav,hat_closed,closed=True;decay_ms=23.74;highpass_hz=4689;tone=0.4867;level=0.5;seed=37
wav/hat_closed__lib__0038.wav,hat_closed,closed=True;decay_ms=8.584;highpass_hz=3733;tone=0.01002;level=0.5;seed=38
wav/hat_closed__lib__0039.wav,hat_closed,closed=True;decay_ms=43.86;highpass_hz=3908;tone=0.7431;level=0.5;seed=39
wav/hat_closed__lib__0040.wav,hat_closed,closed=True;decay_ms=12.25;highpass_hz=4169;tone=0.2601;level=0.5;seed=40
wav/hat_open__lib__0001.wav,hat_open,closed=False;decay_ms=121.8;highpass_hz=3919;tone=0.371;level=0.5;seed=1
wav/hat_open__lib__0002.wav,hat_open,closed=False;decay_ms=260.7;highpass_hz=6566;tone=0.5423;level=0.5;seed=2
wav/hat_open__lib__0003.wav,hat_open,closed=False;decay_ms=155.7;highpass_hz=5590;tone=0.7279;level=0.5;seed=3
wav/hat_open__lib__0004.wav,hat_open,closed=False;decay_ms=280.7;highpass_hz=3761;tone=0.1055;level=0.5;seed=4
wav/hat_open__lib__0005.wav,hat_open,closed=False;decay_ms=280.9;highpass_hz=7369;tone=0.2921;level=0.5;seed=5
wav/hat_open__lib__0006.wav,hat_open,closed=False;decay_ms=108.3;highpass_hz=5240;tone=0.396;level=0.5;seed=6
wav/hat_open__lib__0007.wav,hat_open,closed=False;decay_ms=342.2;highpass_hz=3362;tone=0.7276;level=0.5;seed=7
wav/hat_open__lib__0008.wav,hat_open,closed=False;decay_ms=282.8;highpass_hz=3278;tone=0.6281;level=0.5;seed=8
wav/hat_open__lib__0009.wav,hat_open,closed=False;decay_ms=194.1;highpass_hz=6326;tone=0.38;level=0.5;seed=9
wav/hat_open__lib__0010.wav,hat_open,closed=False;decay_ms=111.8;highpass_hz=7657;tone=0.1193;level=0.5;seed=10
wav/hat_open__lib__0011.wav,hat_open,closed=False;decay_ms=159.2;highpass_hz=5150;tone=0.281;level=0.5;seed=11
wav/hat_open__lib__0012.wav,hat_open,closed=False;decay_ms=223.7;highpass_hz=7912;tone=0.1095;level=0.5;seed=12
wav/hat_open__lib__0013.wav,hat_open,closed=False;decay_ms=233.7;highpass_hz=3637;tone=0.5286;level=0.5;seed=13
wav/hat_open__lib__0014.wav,hat_open,closed=False;decay_ms=251;highpass_hz=4136;tone=0.2303;level=0.5;seed=14
wav/hat_open__lib__0015.wav,hat_open,closed=False;decay_ms=153;highpass_hz=5556;tone=0.1414;level=0.5;seed=15
wav/hat_open__lib__0016.wav,hat_open,closed=False;decay_ms=436.3;highpass_hz=4805;tone=0.03578;level=0.5;seed=16
wav/hat_open__lib__0017.wav,hat_open,closed=False;decay_ms=303;highpass_hz=8059;tone=0.7019;level=0.5;seed=17
wav/hat_open__lib__0018.wav,hat_open,closed=False;decay_ms=135.8;highpass_hz=3775;tone=0.4948;level=0.5;seed=18
wav/hat_open__lib__0019.wav,hat_open,closed=False;decay_ms=424.5;highpass_hz=3146;tone=0.7379;level=0.5;seed=19
wav/hat_open__lib__0020.wav,hat_open,closed=False;decay_ms=94.58;highpass_hz=8259;tone=0.2623;level=0.5;seed=20
wav/hat_open__lib__0021.wav,hat_open,closed=False;decay_ms=172.5;highpass_hz=5974;tone=0.3798;level=0.5;seed=21
wav/hat_open__lib__0022.wav,hat_open,closed=False;decay_ms=216.2;highpass_hz=3543;tone=0.2552;level=0.5;seed=22
wav/hat_open__lib__0023.wav,hat_open,closed=False;decay_ms=230.4;highpass_hz=7084;tone=0.1097;level=0.5;seed=23
wav/hat_open__lib__0024.wav,hat_open,closed=False;decay_ms=170.1;highpass_hz=4226;tone=0.2568;level=0.5;seed=24
wav/hat_open__lib__0025.wav,hat_open,closed=False;decay_ms=95.4;highpass_hz=5638;tone=0.2632;level=0.5;seed=25
wav/hat_open__lib__0026.wav,hat_open,closed=False;decay_ms=100.5;highpass_hz=3513;tone=0.2352;level=0.5;seed=26
wav/hat_open__lib__0027.wav,hat_open,closed=False;decay_ms=190.5;highpass_hz=6820;tone=0.5404;level=0.5;seed=27
wav/hat_open__lib__0028.wav,hat_open,closed=False;decay_ms=97.01;highpass_hz=3001;tone=0.6686;level=0.5;seed=28
wav/hat_open__lib__0029.wav,hat_open,closed=False;decay_ms=118.3;highpass_hz=6649;tone=0.4266;level=0.5;seed=29
wav/hat_open__lib__0030.wav,hat_open,closed=False;decay_ms=307.3;highpass_hz=3689;tone=0.3954;level=0.5;seed=30
wav/hat_open__lib__0031.wav,hat_open,closed=False;decay_ms=267.4;highpass_hz=6442;tone=0.6222;level=0.5;seed=31
wav/hat_open__lib__0032.wav,hat_open,closed=False;decay_ms=374.1;highpass_hz=7901;tone=0.09774;level=0.5;seed=32
wav/hat_open__lib__0033.wav,hat_open,closed=False;decay_ms=136.8;highpass_hz=4031;tone=0.3462;level=0.5;seed=33
wav/hat_open__lib__0034.wav,hat_open,closed=False;decay_ms=357.3;highpass_hz=8331;tone=0.2498;level=0.5;seed=34
wav/hat_open__lib__0035.wav,hat_open,closed=False;decay_ms=337.4;highpass_hz=7599;tone=0.3688;level=0.5;seed=35
wav/hat_open__lib__0036.wav,hat_open,closed=False;decay_ms=102.7;highpass_hz=6015;tone=0.4444;level=0.5;seed=36
wav/hat_open__lib__0037.wav,hat_open,closed=False;decay_ms=156.6;highpass_hz=7583;tone=0.3986;level=0.5;seed=37
wav/hat_open__lib__0038.wav,hat_open,closed=False;decay_ms=96.43;highpass_hz=8006;tone=0.6558;level=0.5;seed=38
wav/hat_open__lib__0039.wav,hat_open,closed=False;decay_ms=102.2;highpass_hz=4594;tone=0.1851;level=0.5;seed=39
wav/hat_open__lib__0040.wav,hat_open,closed=False;decay_ms=151.7;highpass_hz=4502;tone=0.09817;level=0.5;seed=40
wav/clap__lib__0001.wav,clap,decay_ms=85.31;bursts=1;burst_gap_ms=9.807;bandpass_lo=450.5;bandpass_hi=1774;tail_ms=194.6;seed=1
wav/clap__lib__0002.wav,clap,decay_ms=164.1;bursts=1;burst_gap_ms=8.742;bandpass_lo=523.4;bandpass_hi=2360;tail_ms=125.8;seed=2
wav/clap__lib__0003.wav,clap,decay_ms=74.44;bursts=3;burst_gap_ms=9.247;bandpass_lo=582.7;bandpass_hi=2857;tail_ms=171.1;seed=3
wav/clap__lib__0004.wav,clap,decay_ms=318.4;bursts=3;burst_gap_ms=13.7;bandpass_lo=1119;bandpass_hi=4825;tail_ms=92.2;seed=4
wav/clap__lib__0005.wav,clap,decay_ms=79.96;bursts=5;burst_gap_ms=13.87;bandpass_lo=719.5;bandpass_hi=2948;tail_ms=80.58;seed=5
wav/clap__lib__0006.wav,clap,decay_ms=236.2;bursts=1;burst_gap_ms=7.446;bandpass_lo=581.8;bandpass_hi=2805;tail_ms=181.2;seed=6
wav/clap__lib__0007.wav,clap,decay_ms=116.7;bursts=3;burst_gap_ms=6.324;bandpass_lo=939.2;bandpass_hi=4344;tail_ms=157.7;seed=7
wav/clap__lib__0008.wav,clap,decay_ms=156.4;bursts=3;burst_gap_ms=9.31;bandpass_lo=505.9;bandpass_hi=1858;tail_ms=114.2;seed=8
wav/clap__lib__0009.wav,clap,decay_ms=230.7;bursts=3;burst_gap_ms=11.74;bandpass_lo=798.4;bandpass_hi=3294;tail_ms=165.3;seed=9
wav/clap__lib__0010.wav,clap,decay_ms=114.1;bursts=3;burst_gap_ms=11.92;bandpass_lo=726.3;bandpass_hi=3301;tail_ms=197.6;seed=10
wav/clap__lib__0011.wav,clap,decay_ms=121.7;bursts=2;burst_gap_ms=11.71;bandpass_lo=1451;bandpass_hi=3220;tail_ms=57.51;seed=11
wav/clap__lib__0012.wav,clap,decay_ms=164.8;bursts=5;burst_gap_ms=13.81;bandpass_lo=765.2;bandpass_hi=3743;tail_ms=131.2;seed=12
wav/clap__lib__0013.wav,clap,decay_ms=144.6;bursts=2;burst_gap_ms=11.57;bandpass_lo=501.6;bandpass_hi=1858;tail_ms=64.62;seed=13
wav/clap__lib__0014.wav,clap,decay_ms=207.6;bursts=2;burst_gap_ms=11.37;bandpass_lo=454.2;bandpass_hi=2188;tail_ms=246.6;seed=14
wav/clap__lib__0015.wav,clap,decay_ms=105.1;bursts=2;burst_gap_ms=8.043;bandpass_lo=1257;bandpass_hi=4622;tail_ms=254.4;seed=15
wav/clap__lib__0016.wav,clap,decay_ms=86.89;bursts=2;burst_gap_ms=11.6;bandpass_lo=784.8;bandpass_hi=2892;tail_ms=48.14;seed=16
wav/clap__lib__0017.wav,clap,decay_ms=76.33;bursts=4;burst_gap_ms=15.62;bandpass_lo=709.9;bandpass_hi=1619;tail_ms=225.8;seed=17
wav/clap__lib__0018.wav,clap,decay_ms=311.5;bursts=5;burst_gap_ms=10.47;bandpass_lo=526.1;bandpass_hi=2455;tail_ms=100.8;seed=18
wav/clap__lib__0019.wav,clap,decay_ms=80.8;bursts=4;burst_gap_ms=8.772;bandpass_lo=770.8;bandpass_hi=3515;tail_ms=46.58;seed=19
wav/clap__lib__0020.wav,clap,decay_ms=172.1;bursts=5;burst_gap_ms=7.781;bandpass_lo=498.3;bandpass_hi=1894;tail_ms=109.1;seed=20
wav/clap__lib__0021.wav,clap,decay_ms=105.2;bursts=5;burst_gap_ms=6.806;bandpass_lo=1102;bandpass_hi=4973;tail_ms=84.63;seed=21
